pop_label,network_code,N,seed,par_mean,peak_hour_mean,peak_hour_shift,mean_cost_norm,mean_price_advantage,total_flexibility,mean_adjustment,emd_vs_baseline
Balanced,250c,250,1,1.5620966393075477,16.75,-2.0,8.471451977595246,-0.8192061442619136,685.7275694268798,1.6435092981536077,1.9744431482346623
Price-Maximalist,250a,250,1,1.6085872663560865,15.716666666666667,-3.25,8.109269778036419,-0.5424114447030869,1212.5895912138765,2.748003940316077,3.3969079792906385
Price-Maximalist,250b,250,1,1.6180744982366042,15.6,-3.5,8.089672864745435,-0.528511753634323,1206.9808617739732,2.7346769040365198,3.5462719460815366
Price-Maximalist,250c,250,1,1.591051780761355,15.716666666666667,-3.75,8.088555665454964,-0.5236112210105185,1210.442987539515,2.732797183555131,3.2295444161313718
Social-Maximalist,250a,250,1,1.5617721289345128,16.966666666666665,-0.75,8.663990368805875,-0.9724028688058725,549.8599160062054,1.4005732186913653,1.5233422457709198
Social-Maximalist,250b,250,1,1.5808736323451265,16.8,-0.75,8.667893680000482,-0.9782117355560395,559.7761259195722,1.358782079675668,1.381246025765345
Social-Maximalist,250c,250,1,1.5674269575620692,16.966666666666665,-0.75,8.652912507959398,-0.9659888968482874,554.2227072147917,1.4090299925196714,1.7527524168658228
Habitual,250a,250,2,1.584714375809373,17.325,0.5,8.741587513483985,-1.072802791261764,357.6329843084894,0.9877750996106526,0.9464612671729185
Habitual,250b,250,2,1.5908844969252993,17.316666666666666,0.25,8.734207906600245,-1.0677634621558008,354.5346582655013,0.9759018914038533,0.9024428888853961
Habitual,250c,250,2,1.5874845815872909,17.341666666666665,0.5,8.75282483319566,-1.0842387220845495,357.689691079265,0.9896572907041413,0.9516409196390385
Progressive,250a,250,2,1.556247148695234,16.508333333333333,-1.75,8.409112618494895,-0.8045459518282275,728.0208667535713,1.8105371647708781,1.8492976360853466
Progressive,250b,250,2,1.5591259395757013,16.591666666666665,-1.75,8.424864218716618,-0.8144586631610627,724.7809181578382,1.7639276586865802,1.9588069377509523
Progressive,250c,250,2,1.5733372756775235,16.641666666666666,-1.75,8.430661541827392,-0.8177226529385018,728.6687102824773,1.7868471478869172,1.8925756110478065
Tipping,250a,250,2,1.5996989457079398,17.025,-0.5,8.74169663279668,-1.0728244105744595,403.430408302249,1.0477840490271628,0.9670943414886388
Tipping,250b,250,2,1.5931039530574282,17.1,-0.25,8.733370250867644,-1.0685841397565343,410.9877497863496,1.0500154562057014,0.9479885946681021
Tipping,250c,250,2,1.590323672123557,17.241666666666667,-0.25,8.729384199538316,-1.068786977316095,408.26230623792355,1.0579611566835139,1.0779461108295485
Balanced,250a,250,2,1.5578348351958118,16.55,-1.0,8.456141661984615,-0.8380444397623928,702.7732703081733,1.7250691720278095,2.128097776348904
Balanced,250b,250,2,1.5661219656944028,16.675,-1.0,8.477596929310517,-0.8540566515327402,708.9469647539668,1.743363749355217,2.1617693056908545
Balanced,250c,250,2,1.5690870487397925,16.6,-1.5,8.46528933332752,-0.8409809999941891,698.3915603040406,1.7516194531853808,2.4190853532807073
Price-Maximalist,250a,250,2,1.634337644407162,15.591666666666667,-5.5,8.023651829916863,-0.5130671076946404,1234.5829092402955,2.762763796422091,3.1390932753843233
Price-Maximalist,250b,250,2,1.633983014885282,15.55,-5.5,8.02954983365331,-0.514910944764421,1236.7569390880162,2.81945828802987,3.1305501090903425
Price-Maximalist,250c,250,2,1.6319674791972005,15.508333333333333,-5.25,8.022544937927757,-0.5144324379277576,1257.8743174504764,2.706390232137609,2.8120404452910694
Social-Maximalist,250a,250,2,1.5904608024498461,17.1,-1.25,8.615552471513086,-0.971352471513084,564.069080539437,1.476534520807649,1.4757501134486462
Social-Maximalist,250b,250,2,1.591158111257582,17.016666666666666,-1.75,8.61439330821649,-0.9738669193276018,568.2918013775687,1.4827718270443175,1.4896547003116165
Social-Maximalist,250c,250,2,1.5846659149363937,17.05,-1.25,8.592414033276194,-0.9519612554984173,561.7540261904695,1.5369460663405545,1.5880280555070931
Habitual,250a,250,3,1.5649597616635595,17.016666666666666,-0.75,8.80282408144759,-1.0620726925587016,375.9945284852916,1.0188578704228117,1.11111208145494
Habitual,250b,250,3,1.5668326278685203,17.141666666666666,-0.75,8.802619294820184,-1.063058183709076,373.19678258342606,1.006942766256068,1.3606884312295837
Habitual,250c,250,3,1.553600088195832,16.9,-0.75,8.789942055242793,-1.0553045552427935,374.9379205892638,1.0100405848163638,1.2573462600966279
Progressive,250a,250,3,1.527036071977253,16.416666666666668,-1.75,8.452795541441713,-0.7663010969972678,668.0468886971834,1.8294299291477787,2.072725489419265
Progressive,250b,250,3,1.5277141514324704,16.483333333333334,-2.0,8.454478875859625,-0.7718233203040675,686.0558238654497,1.7813539476482132,1.979467020432436
Progressive,250c,250,3,1.5271025033247132,16.516666666666666,-1.0,8.4492660552804,-0.7644979997248453,678.4888635066138,1.7506494580555108,2.3524847404387117
Tipping,250a,250,3,1.5588390931740412,17.066666666666666,0.25,8.79625631687991,-1.059263261324354,410.7547494815192,1.0287546704308577,1.388080429131925
Tipping,250b,250,3,1.5552318061737356,17.125,-0.25,8.795379998187725,-1.0583397204099496,414.7269897727131,1.03569790264643,1.2456012113031805
Tipping,250c,250,3,1.5578823523758296,17.0,0.25,8.808404941881015,-1.0674007752143493,412.6067523379291,1.0445580948833615,1.4681310520929194
Balanced,250a,250,3,1.5226749479810318,16.591666666666665,0.25,8.494196598007983,-0.7968840980079831,659.6837800820501,1.7632707929512184,1.9185202838229107
Balanced,250b,250,3,1.5108025447502478,16.625,-0.25,8.505450780562287,-0.808198002784509,690.344781818024,1.7607410271669637,2.0903129454950937
Balanced,250c,250,3,1.5252976928815294,16.475,0.25,8.492341767020815,-0.7902667670208144,647.1991077350646,1.831396971801099,2.1676772479741366
Price-Maximalist,250a,250,3,1.5740347172267752,15.658333333333333,-3.0,8.087241975704488,-0.48722253126004333,1227.3882003919566,2.7360442268894345,3.3155037647297387
Price-Maximalist,250b,250,3,1.5768531074997445,15.808333333333334,-2.25,8.103606348937815,-0.5049632933822595,1229.4794393804407,2.7469381556643153,2.9193094087363605
Price-Maximalist,250c,250,3,1.5826066700231345,15.783333333333333,-2.0,8.092905730110777,-0.4915626745552231,1191.959761522928,2.8416544134021495,3.435974650230399
Social-Maximalist,250a,250,3,1.5409732203644042,17.008333333333333,0.25,8.69434568738694,-0.9657026318313863,546.7806140493235,1.4084483653678361,1.343399669217031
Social-Maximalist,250b,250,3,1.5467133194240055,16.916666666666668,1.25,8.673183136200315,-0.9555248028669794,545.1922404962773,1.4021158846553738,1.3058514905393452
Social-Maximalist,250c,250,3,1.5496414123471343,16.975,0.0,8.694656637721412,-0.9677260821658561,542.149005276086,1.401934163237805,1.4323735281596435
Habitual,250a,250,4,1.567918224203978,17.333333333333332,-1.5,8.586892294155264,-1.0147950719330405,397.71379343832194,1.028087560892084,1.0640804124999197
Habitual,250b,250,4,1.5734574584372507,17.258333333333333,-1.0,8.60605619410285,-1.0322978607695175,399.02974818293563,1.0134600232024877,1.1497214763873513
Habitual,250c,250,4,1.5780676869112746,17.35,-1.5,8.5985172084499,-1.0285449862276783,395.4743308975823,0.9811944669373621,0.9028116143778355
Progressive,250a,250,4,1.5206707654240612,16.6,-1.0,8.28964425221743,-0.7695761966618732,723.0327664513136,1.7835720277572822,2.1375053577189536
Progressive,250b,250,4,1.5315419881170584,16.641666666666666,-0.5,8.288417514956986,-0.7736008482903204,734.2836696671432,1.7244148118036238,1.879064668663692
Progressive,250c,250,4,1.5285406801146926,16.641666666666666,-1.0,8.27447455313975,-0.75511344202864,702.2359337880803,1.8027080150090649,1.9838933778796477
Tipping,250a,250,4,1.5727118262864281,17.233333333333334,0.0,8.584818723472672,-1.0194659456948958,402.67427738169533,1.0154184052652706,1.0493227073091282
Tipping,250b,250,4,1.5739077774979227,17.308333333333334,-1.25,8.591243620912227,-1.0246797320233396,409.9919924580636,0.9935485466168238,1.0033299799834248
Tipping,250c,250,4,1.5771507702338745,17.183333333333334,-1.25,8.593298375366528,-1.0227525420331942,405.12743839394545,1.035250568520517,1.1465584603076562
Balanced,250a,250,4,1.5220720074225969,16.733333333333334,-1.25,8.324905817574273,-0.8040224842409386,698.6683113511809,1.7199425925145397,2.0608829536486244
Balanced,250b,250,4,1.5366773080859863,16.45,-1.25,8.304450227387635,-0.7848752273876344,695.5029663964589,1.8248604863628208,2.179041030639615
Balanced,250c,250,4,1.5432480418422423,16.791666666666668,-1.5,8.32130670536062,-0.7982344831383981,706.9534215109338,1.7589287964427391,2.1469770359392593
Price-Maximalist,250a,250,4,1.600013325302211,15.441666666666666,-3.75,7.910910306831431,-0.48813391794254357,1272.4233139096073,2.7344628469148873,3.2421760453816875
Price-Maximalist,250b,250,4,1.604500009630441,15.5,-2.75,7.9116535736068325,-0.4903632958290556,1255.5525631975688,2.685161991180204,3.0874347362987957
Price-Maximalist,250c,250,4,1.5884500069292242,15.516666666666667,-4.25,7.939816093536496,-0.5132077602031626,1262.7583324149443,2.6877294462976504,3.107255034938997
Social-Maximalist,250a,250,4,1.5580035175923064,17.008333333333333,-1.25,8.496238525834977,-0.9375565813905332,549.4242368817232,1.4846649366690299,1.6585959569642026
Social-Maximalist,250b,250,4,1.5510913542539746,17.008333333333333,-1.25,8.495224306982642,-0.9366645847604207,554.150729240063,1.4431323185197775,1.3474098518772673
Social-Maximalist,250c,250,4,1.5488400848636446,16.958333333333332,-1.25,8.487114836452351,-0.934849558674572,557.0103052787891,1.4498745014777752,1.4638790953628922
Habitual,250a,250,5,1.5786326176454837,17.025,-1.0,8.735619070154968,-1.0393412923771919,359.1566325452325,1.0534003644807237,1.0790209835857405
Habitual,250b,250,5,1.5746797871039913,17.066666666666666,-0.75,8.739667174432803,-1.04421995221058,360.37489874017797,1.060308045787839,1.297146404283816
Habitual,250c,250,5,1.570836327329655,17.066666666666666,-0.75,8.742692929022024,-1.0474873734664685,356.84989598426597,1.0483132646130384,1.1464007581669557
Progressive,250a,250,5,1.543689949127942,16.433333333333334,-2.25,8.419898550124001,-0.7778207723462252,715.7140767635469,1.703167250500786,1.9543904204365559
Progressive,250b,250,5,1.540721937258912,16.341666666666665,-0.75,8.412666426709107,-0.7699344822646631,727.3766715581339,1.7459820403969926,2.1343580992407762
Progressive,250c,250,5,1.5215884244123776,16.45,-0.25,8.37062232146305,-0.7344473214630507,783.3199000880992,1.779920324817849,1.8235537976802607
Tipping,250a,250,5,1.5828096244049865,16.941666666666666,0.75,8.756375678504279,-1.0568437340598367,402.1292470925382,1.068104883524884,1.258214021076236
Tipping,250b,250,5,1.5746724068995055,17.008333333333333,-0.25,8.732847548772884,-1.03438921543955,403.20455120650723,1.062540069188313,1.0858996286300096
Tipping,250c,250,5,1.5891234088942354,17.016666666666666,-0.25,8.759492806924538,-1.0640080847023152,399.8714167692833,1.0538648589159407,0.8367026457647257
Balanced,250a,250,5,1.5552509984632001,16.558333333333334,-1.0,8.491376820510618,-0.8421587649550645,660.120635364444,1.7180383331331297,1.8941759792677466
Balanced,250b,250,5,1.5589522668676339,16.475,-1.5,8.485332350282237,-0.8412142947266819,692.6659380437751,1.7161685205397221,2.113030853475184
Balanced,250c,250,5,1.5639725108895983,16.591666666666665,-1.0,8.487718387079745,-0.8404947759686343,680.0472813140616,1.659114521717096,1.7557685609249927
Price-Maximalist,250a,250,5,1.5946281626861298,15.583333333333334,-4.0,8.053762498790425,-0.4970472210126487,1238.0751570794748,2.635587845999385,3.024065283309116
Price-Maximalist,250b,250,5,1.5943340403245148,15.641666666666667,-4.0,8.03910550519378,-0.4850263385271128,1251.3065547016265,2.649903621780416,2.8322768844328987
Price-Maximalist,250c,250,5,1.5840137815248794,15.541666666666666,-4.0,8.026953717972315,-0.4670787179723171,1238.9146211248049,2.8016249646153057,3.1829933810138815
Social-Maximalist,250a,250,5,1.5566308393962665,16.983333333333334,-0.5,8.653929829085035,-0.9703312179739243,549.6452266953617,1.390748081501848,1.3909070337187837
Social-Maximalist,250b,250,5,1.5651084623009892,17.208333333333332,-0.25,8.65591010091544,-0.9719101009154412,544.7650449698477,1.3504745702783736,1.4931005785750782
Social-Maximalist,250c,250,5,1.5642800087132065,16.975,-0.5,8.657534925246683,-0.9691335363577932,537.8853625395844,1.4609808127021833,1.5797969239132295
Habitual,250a,250,6,1.559362296542326,17.2,-0.25,8.683572657726666,-1.013402702171111,376.38980274536823,1.0287953315148204,0.9394046048208382
Habitual,250b,250,6,1.555690427604525,17.1,0.0,8.686093346094566,-1.0139377905390108,381.63234269946247,1.0015316329200175,0.9732031058309902
Habitual,250c,250,6,1.571715217774563,17.125,-1.5,8.7020041003621,-1.0264882614732103,383.0469332827812,1.0050895266920326,1.0840993154787988
Progressive,250a,250,6,1.5314800323378674,16.525,-3.0,8.400480199827438,-0.7652635331607717,717.3674439249319,1.7543378313283953,1.8889506822982702
Progressive,250b,250,6,1.5335498392161162,16.6,-3.0,8.393183964127774,-0.7582431696833276,701.3607957837656,1.8350608458762763,1.746345134300869
Progressive,250c,250,6,1.542750699487566,16.7,-3.0,8.40797373097444,-0.7735306754188851,715.1872515632779,1.7492931816809334,1.7265730994277795
Tipping,250a,250,6,1.5814193380913433,17.1,0.0,8.727147520763452,-1.0430044652078982,407.6196000251118,1.08201648081538,1.0107679073554214
Tipping,250b,250,6,1.5861733908220061,17.225,-0.75,8.726162218655585,-1.0465050908778075,409.9641349936682,1.0839080349869608,0.873169557534419
Tipping,250c,250,6,1.5643452605991022,17.183333333333334,-1.5,8.703654185760508,-1.020076013538284,409.6140897939882,1.0559522620174508,1.0142434605462638
Balanced,250a,250,6,1.5362440268657338,16.625,-2.25,8.454303399721303,-0.810461733054636,673.6170243546528,1.7217231271871214,1.7515012585127931
Balanced,250b,250,6,1.5353248653456661,16.733333333333334,-2.5,8.462918386632628,-0.8205531088548491,698.6514220042122,1.7140070879616183,2.0575299446898816
Balanced,250c,250,6,1.545386413301235,16.708333333333332,-2.5,8.44937572590577,-0.8039729481279927,678.9371248060714,1.7188737166938772,1.733432910598136
Price-Maximalist,250a,250,6,1.5726155735935101,15.725,-3.0,8.015272810056825,-0.4752547545012705,1246.8497125365939,2.5669175508233533,2.870623016888497
Price-Maximalist,250b,250,6,1.5859754871915335,15.733333333333333,-3.75,8.029686490637658,-0.4793239906376591,1208.3599349568883,2.6345545583679657,3.0423771530566524
Price-Maximalist,250c,250,6,1.5970956742539697,15.683333333333334,-3.75,8.038307457314641,-0.492368568425752,1222.9794777815212,2.730151162240809,3.0236064649339087
Social-Maximalist,250a,250,6,1.5722247177828137,17.1,-1.0,8.607631537947357,-0.9528787601695793,552.4806015296311,1.4656514605238318,1.7264307560656846
Social-Maximalist,250b,250,6,1.5693711991005308,17.075,-1.25,8.623196461380294,-0.9626742391580733,558.6654880606204,1.4241335472751215,1.5797608728711767
Social-Maximalist,250c,250,6,1.5675291199462678,16.95,-1.75,8.621064424663114,-0.9594824802186707,554.6050081640518,1.4839907527860827,1.8568226368441099
Habitual,250a,250,7,1.570709999797967,17.066666666666666,-1.25,8.753420763836003,-1.049358263836003,382.35886843871594,1.0767186450728046,1.5296869531349437
