pop_label,network_code,N,seed,dominant_group,flex_mean,cost_norm_mean,adjustment_mean,price_contrib_mean,social_contrib_mean,price_contrib_pct,social_contrib_pct,savings_per_flex_mean
Progressive,500a,500,7,Habit-driven,1.503284067707861,8.656824508174344,1.1530074733244082,1.0049225079298487,0.4983615597780121,66.84847724502985,33.15152275497013,-6.2831455544763015
Progressive,500a,500,7,Price-responsive,5.774437282704988,7.90828526837914,3.2997443938404647,5.262117641901509,0.5123196408034797,91.12779971932629,8.872200280673717,-0.0203467437152507
Progressive,500a,500,7,Social-influenced,2.6169906856899865,8.598109588161849,1.628275126305679,0.93282673873581,1.684163946954176,35.645015621821535,64.35498437817847,-1.311276059939603
Tipping,500a,500,7,Habit-driven,1.2061285366921177,8.7712136684876,0.8861849385391779,0.9035194670089749,0.3026090696831429,74.91071138130377,25.08928861869623,-15.986224419629943
Tipping,500a,500,7,Price-responsive,5.162880523891282,7.944412201342799,3.4291281067986126,4.47951756705263,0.6833629568386504,86.76392076716898,13.236079232831004,0.01637158143427196
Tipping,500a,500,7,Social-influenced,2.156607496461316,8.750955860070391,1.029354896870662,1.086121857464154,1.0704856389971615,50.362518874961005,49.63748112503899,-19.359859858392824
Balanced,500a,500,7,Habit-driven,1.5194045017192996,8.646440059449217,1.138053454342226,1.011163184507803,0.5082413172114966,66.54996634297251,33.45003365702749,-6.755400380035846
Balanced,500a,500,7,Price-responsive,5.706532229347673,7.916383420288334,3.1702368580237645,5.186280933866124,0.5202512954815494,90.88323215269003,9.116767847309967,-0.020211810940972033
Balanced,500a,500,7,Social-influenced,2.510240298055875,8.607188207296893,1.57409613504889,0.9883644398958024,1.521875858160073,39.37329986540605,60.626700134593946,-18.07623700398814
Habitual,500a,500,8,Habit-driven,1.2880929689029583,8.778848606786122,0.940854264821418,0.978313952289653,0.3097790166133051,75.95057002157714,24.04942997842286,-21.73290647936971
Habitual,500a,500,8,Price-responsive,5.818639655610685,7.945496318039958,3.298775845754287,4.733314060588032,1.0853255950226532,81.34743412103005,18.65256587896995,-0.00022201590371174974
Habitual,500a,500,8,Social-influenced,2.719279078715994,8.75251105026904,1.1499164949816632,1.4767289022585635,1.2425501764574307,54.305897243759716,45.6941027562403,-1.9974806144551231
Progressive,500a,500,8,Habit-driven,1.4923229162177676,8.654233797289338,1.106290785588148,1.017945845307362,0.4743770709104058,68.21217005011923,31.78782994988078,-3.813628725527437
Progressive,500a,500,8,Price-responsive,6.042601216176045,7.911609445778659,3.182356401664116,5.499099151688271,0.5435020644877743,91.00549506671368,8.994504933286333,-0.024269566617246916
Progressive,500a,500,8,Social-influenced,2.6613676747325257,8.599536345869318,1.6311086320055816,1.1572299446747307,1.504137730057795,43.48252801225728,56.51747198774272,-2.481226503708872
Tipping,500a,500,8,Habit-driven,1.2994872941513587,8.777261266331154,0.9468123538840553,0.9828362068887931,0.31665108726256525,75.63261382487336,24.36738617512663,-4.251563474338503
Tipping,500a,500,8,Price-responsive,5.3965177567326075,7.932079035882403,3.403894329024475,4.595972672697205,0.8005450840354016,85.16552487876734,14.834475121232666,-0.006776814179914319
Tipping,500a,500,8,Social-influenced,2.0714918226261103,8.74583635769626,1.0841989830603094,1.039109827985293,1.0323819946408166,50.162391018660834,49.83760898133918,-13.145607257833255
Balanced,500a,500,8,Habit-driven,1.5169823504708122,8.676922382460253,1.128101359064278,1.0623153182438134,0.4546670322269988,70.02819234608182,29.97180765391818,-2.5492069352609996
