pop_label,network_code,N,seed,dominant_group,cost_norm_mean,cost_norm_day29,adjustment_mean
Progressive,500a,500,1,Social-influenced,8.614290775886314,8.372128389066942,1.67862746377094
Progressive,500a,500,2,Habit-driven,8.661100526414275,8.369409359762479,1.085488833231005
Progressive,500a,500,2,Price-responsive,7.910810947633823,7.262286935707228,3.115870321848518
Progressive,500a,500,2,Social-influenced,8.61212240808669,8.208679959018053,1.5613298273752434
Progressive,500a,500,3,Habit-driven,8.666940149381595,8.365384037462123,1.1455851409423736
Progressive,500a,500,3,Price-responsive,7.940174935020588,7.314769262937437,3.2436787594004066
Progressive,500a,500,3,Social-influenced,8.573499949490405,8.280737372379948,1.6246205746706508
Progressive,500a,500,4,Habit-driven,8.547241374077226,8.264364001773245,1.1678149773232085
Progressive,500a,500,4,Price-responsive,7.849756547576749,7.106123487197874,3.2527034745994463
Progressive,500a,500,4,Social-influenced,8.566821407666492,8.14179692964164,1.71386698677268
Progressive,500a,500,5,Habit-driven,8.658582355923546,8.283413236118962,1.1255209800157004
Progressive,500a,500,5,Price-responsive,7.901144102248712,7.279822641562633,3.1963874231832743
Progressive,500a,500,5,Social-influenced,8.626488616638447,8.382698362881337,1.6169885069791254
Progressive,500a,500,6,Habit-driven,8.641202337102914,8.3554831881102,1.0878791337360958
Progressive,500a,500,6,Price-responsive,7.919811426614651,7.366353427602371,3.2758293946925527
Progressive,500a,500,6,Social-influenced,8.609898702186676,8.148489516099339,1.6424943293177348
Progressive,500a,500,7,Habit-driven,8.656824508174344,8.347768762182788,1.1530074733244082
Progressive,500a,500,7,Price-responsive,7.90828526837914,7.166890468160185,3.2997443938404647
Progressive,500a,500,7,Social-influenced,8.598109588161849,8.276698566615261,1.6282751263056787
Progressive,500a,500,8,Habit-driven,8.654233797289338,8.454069350578166,1.106290785588148
Progressive,500a,500,8,Price-responsive,7.911609445778659,7.309023320484086,3.182356401664116
Progressive,500a,500,8,Social-influenced,8.599536345869318,8.431048248608029,1.6311086320055816
Progressive,500a,500,9,Habit-driven,8.626750722199192,8.292763135744872,1.1351583351255037
Progressive,500a,500,9,Price-responsive,7.926248001064479,7.254125214298513,3.1308380160432407
Progressive,500a,500,9,Social-influenced,8.544359080865604,8.0635948811993,1.597233745129735
Progressive,500a,500,10,Habit-driven,8.661194152152401,8.420087223421866,1.109137464291043
Progressive,500a,500,10,Price-responsive,7.910176292303734,7.255178612943382,3.2954534460670275
Progressive,500a,500,10,Social-influenced,8.603808907760369,8.609289123532381,1.657338340182381
Progressive,500b,500,1,Habit-driven,8.69019233537136,8.382838911193112,1.0880121916230514
Progressive,500b,500,1,Price-responsive,7.933358789376879,7.317522161415936,3.146796957721826
Progressive,500b,500,1,Social-influenced,8.615507678043512,8.282031783137507,1.6147905286990345
Progressive,500b,500,2,Habit-driven,8.649593066256934,8.345969362494596,1.0975353785442248
Progressive,500b,500,2,Price-responsive,7.904870593813905,7.268045199871264,3.3143825309111774
Progressive,500b,500,2,Social-influenced,8.630452675248652,8.203832825701891,1.614414245388549
Progressive,500b,500,3,Habit-driven,8.676517392505064,8.388221832713885,1.133934839007377
Progressive,500b,500,3,Price-responsive,7.9386719947805995,7.211431223462196,3.253451073857535
Progressive,500b,500,3,Social-influenced,8.563783693333773,8.385028863413279,1.6327703918494285
Progressive,500b,500,4,Habit-driven,8.542901887552803,8.28392388304372,1.1711337607204348
Progressive,500b,500,4,Price-responsive,7.862328081880305,7.1722935631397045,3.190865557041357
Progressive,500b,500,4,Social-influenced,8.555520355937254,8.098519414735524,1.718400224696549
Progressive,500b,500,5,Habit-driven,8.663245562533273,8.269734171690647,1.1174001786880914
Progressive,500b,500,5,Price-responsive,7.905387413135971,7.231157691634293,3.338846220000504
Progressive,500b,500,5,Social-influenced,8.604155474344148,8.287078454229961,1.6130847985117704
Progressive,500b,500,6,Habit-driven,8.647268739745586,8.38286876239841,1.0813466957317404
Progressive,500b,500,6,Price-responsive,7.927762980186332,7.408919290689993,3.2764655520717927
Progressive,500b,500,6,Social-influenced,8.59210282106751,8.240932138897874,1.6028739398436904
Progressive,500b,500,7,Habit-driven,8.650370864388554,8.304211782992624,1.1499093795646829
Progressive,500b,500,7,Price-responsive,7.916444653363105,7.259735156929876,3.171458559141386
Progressive,500b,500,7,Social-influenced,8.599442598057951,8.225042718741184,1.6119571306376599
Progressive,500b,500,8,Habit-driven,8.645012189310131,8.408442513768096,1.119193229695591
Progressive,500b,500,8,Price-responsive,7.904892281590437,7.272230682261873,3.190544081583822
Progressive,500b,500,8,Social-influenced,8.572346844587791,8.267735501025355,1.628872045129787
Progressive,500b,500,9,Habit-driven,8.629272006831286,8.295261683354862,1.1382898594823665
Progressive,500b,500,9,Price-responsive,7.919341936432969,7.199541630506956,3.251268293142247
Progressive,500b,500,9,Social-influenced,8.556008622091102,8.202179698549974,1.5773718168804636
Progressive,500b,500,10,Habit-driven,8.66845592869767,8.472993210114176,1.1070012803865203
Progressive,500b,500,10,Price-responsive,7.9034755249350805,7.325123683470814,3.2506589168326596
Progressive,500b,500,10,Social-influenced,8.609694336289271,8.546912021140395,1.6288902423830616
